index,date,category,title,coverFile,alt,imageKeywords,promptZh,promptEn,sourceSuggestion
1,2024-01-09,本源,本源①：从种子到枯木，一棵树完整的自然生长宿命,muchi-benyuan-01-cover.jpg,原生山林树木生命周期实拍,"树木幼苗, 成熟树干, 枯木, 山林自然光, 时间感","为痴木堂「木痴」专栏文章《本源①：从种子到枯木，一棵树完整的自然生长宿命》制作一张高级木作杂志感封面图。画面主题：一棵树从幼苗到成材再到枯木的自然时间感，画面要有生命轮回与山林气息。。关键词：树木幼苗, 成熟树干, 枯木, 山林自然光, 时间感。风格要求：真实摄影感，自然光，低饱和原木色，克制东方审美，画面干净，有高级木材品牌气质；不要文字，不要logo，不要夸张商业广告感，不要廉价科普插画，不要明显AI痕迹。","Create a premium editorial cover image for a Chinese woodcraft journal article titled ""本源①：从种子到枯木，一棵树完整的自然生长宿命"". Scene direction: 一棵树从幼苗到成材再到枯木的自然时间感，画面要有生命轮回与山林气息。 Keywords: 树木幼苗, 成熟树干, 枯木, 山林自然光, 时间感. Use a realistic photography style, natural light, muted wood tones, restrained East Asian aesthetics, clean composition, premium wood material brand feeling. No text, no logo, no cheap infographic style, no exaggerated advertising look, no obvious AI artifacts.",实拍/生成均可
2,2024-02-09,本源,本源②：硬木与软木，植物学层面的木材界定标准,muchi-benyuan-02-cover.jpg,阔叶硬木与针叶软木横截面对比,"阔叶木, 针叶木, 木材横截面, 植物学分类, 对比","为痴木堂「木痴」专栏文章《本源②：硬木与软木，植物学层面的木材界定标准》制作一张高级木作杂志感封面图。画面主题：阔叶树与针叶树并置，或两类木材横截面对比，强调分类逻辑而不是材质贵贱。。关键词：阔叶木, 针叶木, 木材横截面, 植物学分类, 对比。风格要求：真实摄影感，自然光，低饱和原木色，克制东方审美，画面干净，有高级木材品牌气质；不要文字，不要logo，不要夸张商业广告感，不要廉价科普插画，不要明显AI痕迹。","Create a premium editorial cover image for a Chinese woodcraft journal article titled ""本源②：硬木与软木，植物学层面的木材界定标准"". Scene direction: 阔叶树与针叶树并置，或两类木材横截面对比，强调分类逻辑而不是材质贵贱。 Keywords: 阔叶木, 针叶木, 木材横截面, 植物学分类, 对比. Use a realistic photography style, natural light, muted wood tones, restrained East Asian aesthetics, clean composition, premium wood material brand feeling. No text, no logo, no cheap infographic style, no exaggerated advertising look, no obvious AI artifacts.",实拍优先
3,2024-03-09,本源,本源③：山水纹、虎斑纹、鸟眼纹｜天然木纹的自然形成原理,muchi-benyuan-03-cover.jpg,天然木纹山水纹虎斑纹鸟眼纹特写,"山水纹, 虎斑纹, 鸟眼纹, 天然木纹, 木材肌理","为痴木堂「木痴」专栏文章《本源③：山水纹、虎斑纹、鸟眼纹｜天然木纹的自然形成原理》制作一张高级木作杂志感封面图。画面主题：高质感木纹特写，最好能看到山水纹、虎斑纹或鸟眼纹的自然层次。。关键词：山水纹, 虎斑纹, 鸟眼纹, 天然木纹, 木材肌理。风格要求：真实摄影感，自然光，低饱和原木色，克制东方审美，画面干净，有高级木材品牌气质；不要文字，不要logo，不要夸张商业广告感，不要廉价科普插画，不要明显AI痕迹。","Create a premium editorial cover image for a Chinese woodcraft journal article titled ""本源③：山水纹、虎斑纹、鸟眼纹｜天然木纹的自然形成原理"". Scene direction: 高质感木纹特写，最好能看到山水纹、虎斑纹或鸟眼纹的自然层次。 Keywords: 山水纹, 虎斑纹, 鸟眼纹, 天然木纹, 木材肌理. Use a realistic photography style, natural light, muted wood tones, restrained East Asian aesthetics, clean composition, premium wood material brand feeling. No text, no logo, no cheap infographic style, no exaggerated advertising look, no obvious AI artifacts.",实拍优先
4,2024-03-24,本源,本源④：木疤皆天造｜深度解析树木结疤的成因，活结与死结,muchi-benyuan-04-cover.jpg,天然木疤活结原木特写,"木疤, 活结, 死结, 树干伤口, 原木瑕疵美","为痴木堂「木痴」专栏文章《本源④：木疤皆天造｜深度解析树木结疤的成因，活结与死结》制作一张高级木作杂志感封面图。画面主题：带天然活结的木板或树干结疤特写，画面要温润，不要像瑕疵投诉图。。关键词：木疤, 活结, 死结, 树干伤口, 原木瑕疵美。风格要求：真实摄影感，自然光，低饱和原木色，克制东方审美，画面干净，有高级木材品牌气质；不要文字，不要logo，不要夸张商业广告感，不要廉价科普插画，不要明显AI痕迹。","Create a premium editorial cover image for a Chinese woodcraft journal article titled ""本源④：木疤皆天造｜深度解析树木结疤的成因，活结与死结"". Scene direction: 带天然活结的木板或树干结疤特写，画面要温润，不要像瑕疵投诉图。 Keywords: 木疤, 活结, 死结, 树干伤口, 原木瑕疵美. Use a realistic photography style, natural light, muted wood tones, restrained East Asian aesthetics, clean composition, premium wood material brand feeling. No text, no logo, no cheap infographic style, no exaggerated advertising look, no obvious AI artifacts.",实拍优先
5,2024-04-09,本源,本源⑤：木材含水率｜水汽如何决定一块原木的形态与稳定性,muchi-benyuan-05-cover.jpg,木材含水率与水汽交换场景,"木材含水率, 湿胀干缩, 水汽交换, 湿度计, 原木截面","为痴木堂「木痴」专栏文章《本源⑤：木材含水率｜水汽如何决定一块原木的形态与稳定性》制作一张高级木作杂志感封面图。画面主题：原木横截面、水汽、湿度计或干燥木材并置，表现木材与空气交换水分。。关键词：木材含水率, 湿胀干缩, 水汽交换, 湿度计, 原木截面。风格要求：真实摄影感，自然光，低饱和原木色，克制东方审美，画面干净，有高级木材品牌气质；不要文字，不要logo，不要夸张商业广告感，不要廉价科普插画，不要明显AI痕迹。","Create a premium editorial cover image for a Chinese woodcraft journal article titled ""本源⑤：木材含水率｜水汽如何决定一块原木的形态与稳定性"". Scene direction: 原木横截面、水汽、湿度计或干燥木材并置，表现木材与空气交换水分。 Keywords: 木材含水率, 湿胀干缩, 水汽交换, 湿度计, 原木截面. Use a realistic photography style, natural light, muted wood tones, restrained East Asian aesthetics, clean composition, premium wood material brand feeling. No text, no logo, no cheap infographic style, no exaggerated advertising look, no obvious AI artifacts.",生成/实拍均可
6,2024-05-09,本源,本源⑥：产区气候，如何决定木材先天本质特性,muchi-benyuan-06-cover.jpg,产区气候与山地森林木材来源,"木材产区, 寒带森林, 山地林场, 气候, 水土","为痴木堂「木痴」专栏文章《本源⑥：产区气候，如何决定木材先天本质特性》制作一张高级木作杂志感封面图。画面主题：高纬寒带森林或山地林场远景，带出产区、水土、气候塑造木性的概念。。关键词：木材产区, 寒带森林, 山地林场, 气候, 水土。风格要求：真实摄影感，自然光，低饱和原木色，克制东方审美，画面干净，有高级木材品牌气质；不要文字，不要logo，不要夸张商业广告感，不要廉价科普插画，不要明显AI痕迹。","Create a premium editorial cover image for a Chinese woodcraft journal article titled ""本源⑥：产区气候，如何决定木材先天本质特性"". Scene direction: 高纬寒带森林或山地林场远景，带出产区、水土、气候塑造木性的概念。 Keywords: 木材产区, 寒带森林, 山地林场, 气候, 水土. Use a realistic photography style, natural light, muted wood tones, restrained East Asian aesthetics, clean composition, premium wood material brand feeling. No text, no logo, no cheap infographic style, no exaggerated advertising look, no obvious AI artifacts.",实拍/生成均可
7,2024-05-24,本源,本源⑦：原木物理特性｜热胀冷缩底层逻辑,muchi-benyuan-07-cover.jpg,地暖温度下的原木稳定性示意实拍,"热胀冷缩, 木地板, 地暖, 温度变化, 原木稳定性","为痴木堂「木痴」专栏文章《本源⑦：原木物理特性｜热胀冷缩底层逻辑》制作一张高级木作杂志感封面图。画面主题：室内地暖、木地板截面与温度变化意象，画面克制，不做夸张裂纹。。关键词：热胀冷缩, 木地板, 地暖, 温度变化, 原木稳定性。风格要求：真实摄影感，自然光，低饱和原木色，克制东方审美，画面干净，有高级木材品牌气质；不要文字，不要logo，不要夸张商业广告感，不要廉价科普插画，不要明显AI痕迹。","Create a premium editorial cover image for a Chinese woodcraft journal article titled ""本源⑦：原木物理特性｜热胀冷缩底层逻辑"". Scene direction: 室内地暖、木地板截面与温度变化意象，画面克制，不做夸张裂纹。 Keywords: 热胀冷缩, 木地板, 地暖, 温度变化, 原木稳定性. Use a realistic photography style, natural light, muted wood tones, restrained East Asian aesthetics, clean composition, premium wood material brand feeling. No text, no logo, no cheap infographic style, no exaggerated advertising look, no obvious AI artifacts.",生成更适合
8,2024-06-09,本源,本源⑧：心材VS边材｜树木躯干结构与属性差异,muchi-benyuan-08-cover.jpg,心材边材树干横截面,"心材, 边材, 树干横截面, 年轮, 木材结构","为痴木堂「木痴」专栏文章《本源⑧：心材VS边材｜树木躯干结构与属性差异》制作一张高级木作杂志感封面图。画面主题：清晰树干横截面，心材深、边材浅，最好能自然呈现圈层结构。。关键词：心材, 边材, 树干横截面, 年轮, 木材结构。风格要求：真实摄影感，自然光，低饱和原木色，克制东方审美，画面干净，有高级木材品牌气质；不要文字，不要logo，不要夸张商业广告感，不要廉价科普插画，不要明显AI痕迹。","Create a premium editorial cover image for a Chinese woodcraft journal article titled ""本源⑧：心材VS边材｜树木躯干结构与属性差异"". Scene direction: 清晰树干横截面，心材深、边材浅，最好能自然呈现圈层结构。 Keywords: 心材, 边材, 树干横截面, 年轮, 木材结构. Use a realistic photography style, natural light, muted wood tones, restrained East Asian aesthetics, clean composition, premium wood material brand feeling. No text, no logo, no cheap infographic style, no exaggerated advertising look, no obvious AI artifacts.",实拍优先
9,2024-07-09,辨木,辨木①：阔叶木VS针叶木｜两大主流民用木材底层属性区分,muchi-bianmu-01-cover.jpg,阔叶木针叶木板材对比,"阔叶木, 针叶木, 板材对比, 木纹, 民用木材","为痴木堂「木痴」专栏文章《辨木①：阔叶木VS针叶木｜两大主流民用木材底层属性区分》制作一张高级木作杂志感封面图。画面主题：阔叶木板材与针叶木板材对比陈列，色泽和纹理差异清楚。。关键词：阔叶木, 针叶木, 板材对比, 木纹, 民用木材。风格要求：真实摄影感，自然光，低饱和原木色，克制东方审美，画面干净，有高级木材品牌气质；不要文字，不要logo，不要夸张商业广告感，不要廉价科普插画，不要明显AI痕迹。","Create a premium editorial cover image for a Chinese woodcraft journal article titled ""辨木①：阔叶木VS针叶木｜两大主流民用木材底层属性区分"". Scene direction: 阔叶木板材与针叶木板材对比陈列，色泽和纹理差异清楚。 Keywords: 阔叶木, 针叶木, 板材对比, 木纹, 民用木材. Use a realistic photography style, natural light, muted wood tones, restrained East Asian aesthetics, clean composition, premium wood material brand feeling. No text, no logo, no cheap infographic style, no exaggerated advertising look, no obvious AI artifacts.",实拍优先
10,2024-08-09,辨木,辨木②：黑胡桃/橡木/紫檀/香樟｜热门名贵木材原生特征全解析,muchi-bianmu-02-cover.jpg,热门名贵木材样板集合,"黑胡桃, 橡木, 紫檀, 香樟, 木种样板","为痴木堂「木痴」专栏文章《辨木②：黑胡桃/橡木/紫檀/香樟｜热门名贵木材原生特征全解析》制作一张高级木作杂志感封面图。画面主题：四类木种样板整齐排布，带标签感但不要像商品货架。。关键词：黑胡桃, 橡木, 紫檀, 香樟, 木种样板。风格要求：真实摄影感，自然光，低饱和原木色，克制东方审美，画面干净，有高级木材品牌气质；不要文字，不要logo，不要夸张商业广告感，不要廉价科普插画，不要明显AI痕迹。","Create a premium editorial cover image for a Chinese woodcraft journal article titled ""辨木②：黑胡桃/橡木/紫檀/香樟｜热门名贵木材原生特征全解析"". Scene direction: 四类木种样板整齐排布，带标签感但不要像商品货架。 Keywords: 黑胡桃, 橡木, 紫檀, 香樟, 木种样板. Use a realistic photography style, natural light, muted wood tones, restrained East Asian aesthetics, clean composition, premium wood material brand feeling. No text, no logo, no cheap infographic style, no exaggerated advertising look, no obvious AI artifacts.",实拍/生成均可
